+====================+===================+================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                            |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_block_histogram_inst/bin_sum_reg[10]/D          |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_block_histogram_inst/bin_sum_reg[9]/D           |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_block_histogram_inst/bin_sum_reg[8]/D           |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_cell_histogram_inst/Calculo_bin.ratio_reg[26]/D |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_block_histogram_inst/bin_sum_reg[7]/D           |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_block_histogram_inst/bin_sum_reg[6]/D           |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_block_histogram_inst/bin_sum_reg[5]/D           |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_block_histogram_inst/bin_sum_reg[4]/D           |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_cell_histogram_inst/Calculo_bin.ratio_reg[27]/D |
| clk_fpga_0         | clk_fpga_0        | design_1_i/HOGv22_0/U0/uut/hog_block_histogram_inst/bin_sum_reg[3]/D           |
+--------------------+-------------------+--------------------------------------------------------------------------------+
